Date,Open,High,Low,Close,Adj Close,Volume
2011-07-12,141.769226,143.538467,141.384613,141.384613,108.849731,6130033
2011-07-13,142.538467,144.846161,142.307693,142.384613,109.619614,7428967
2011-07-14,143.461533,144.615387,142.076920,142.538467,109.738068,5686915
2011-07-15,142.692307,143.692307,140.692307,141.615387,109.027412,6570291
2011-07-18,141.000000,141.461533,139.692307,140.692307,108.316765,5142345
2011-07-19,141.538467,143.384613,141.153839,142.923080,110.034218,5938101
2011-07-20,144.230774,145.461533,143.076920,144.538467,111.277840,6312163
2011-07-21,146.000000,148.307693,145.076920,147.384613,113.469017,8728421
2011-07-22,149.461533,150.230774,145.769226,146.461533,112.758369,10680202
2011-07-25,145.923080,147.230774,145.000000,145.846161,112.284584,5696327
2011-07-26,146.153839,146.461533,142.307693,142.769226,109.915756,8885916
2011-07-27,142.076920,142.384613,138.846161,139.307693,107.250771,10158499
2011-07-28,139.538467,142.000000,139.153839,139.307693,107.250771,6328400
2011-07-29,138.384613,139.307693,136.769226,137.769226,106.066307,9120332
2011-08-01,141.461533,141.692307,136.000000,138.230774,106.421646,8983078
2011-08-02,136.461533,137.538467,132.000000,132.384613,101.920807,12593087
2011-08-03,132.692307,134.615387,131.230774,134.384613,103.460548,11202607
2011-08-04,132.230774,132.846161,126.307693,126.692307,97.538376,16655145
2011-08-05,128.153839,130.384613,123.846153,127.000000,97.775253,16158519
2011-08-08,120.538460,124.076920,117.692307,118.692307,91.379303,22572394
2011-08-09,119.923080,122.769234,114.000000,122.769234,94.518066,25798617
2011-08-10,121.923080,122.230766,115.461540,116.076920,89.365761,17524156
2011-08-11,116.538460,122.461540,115.384613,120.615387,92.859840,17135703
2011-08-12,123.384613,124.000000,121.461540,122.153847,94.044266,9724299
2011-08-15,124.384613,126.230766,123.692307,126.076920,97.064575,8486777
2011-08-16,124.923080,125.153847,122.692307,124.230766,95.643272,7712796
2011-08-17,125.384613,127.230766,123.692307,124.846153,96.117050,6603038
2011-08-18,121.076920,121.384613,116.923080,118.000000,90.846298,15391220
2011-08-19,116.153847,120.076920,115.615387,116.076920,89.365761,10361117
2011-08-22,119.615387,119.615387,115.769234,116.230766,89.484200,9025991
2011-08-23,116.692307,119.538460,116.230766,119.538460,92.030731,9115405
2011-08-24,119.076920,121.153847,118.615387,120.923080,93.096725,8502039
2011-08-25,122.615387,123.461540,118.000000,118.846153,91.497719,8817250
2011-08-26,118.461540,120.615387,116.153847,119.538460,92.030731,8107424
2011-08-29,121.461540,123.538460,121.153847,123.384613,94.991829,6208891
2011-08-30,122.692307,124.923080,121.153847,124.000000,95.465569,6312423
2011-08-31,124.923080,126.846153,124.307693,125.461540,96.590828,8173282
2011-09-01,125.461540,126.538460,124.230766,124.615387,95.939377,7958171
2011-09-02,121.923080,122.461540,119.615387,121.230766,93.333611,8026707
2011-09-06,117.307693,117.615387,115.384613,117.307693,90.313278,12670658
2011-09-07,119.230766,121.923080,118.769234,121.538460,93.570503,7831122
2011-09-08,120.692307,121.769234,119.153847,119.923080,92.326843,15329704
2011-09-09,118.307693,118.923080,115.615387,116.076920,89.365761,18777330
2011-09-12,115.461540,117.615387,113.230766,115.461540,88.891960,22073636
2011-09-13,115.538460,118.923080,114.307693,118.538460,91.260857,10829091
2011-09-14,119.076920,123.384613,116.923080,121.461540,93.511299,11874278
2011-09-15,122.307693,123.846153,121.846153,123.692307,96.142052,8752432
2011-09-16,124.769234,126.153847,123.615387,125.615387,97.636787,11596650
2011-09-19,122.923080,125.153847,122.076920,124.461540,96.739952,7039968
2011-09-20,125.000000,126.538460,123.384613,123.384613,95.902878,7310615
2011-09-21,122.846153,123.615387,118.153847,118.307693,91.956757,9666904
2011-09-22,115.076920,117.076920,114.000000,115.692307,89.923897,14780792
2011-09-23,114.615387,117.307693,114.307693,117.000000,90.940315,8516755
2011-09-26,118.461540,120.153847,115.923080,119.769234,93.092773,12207091
2011-09-27,121.615387,123.615387,120.538460,121.230766,94.228752,10450908
2011-09-28,121.153847,123.076920,118.615387,118.846153,92.375252,7462403
2011-09-29,121.692307,122.692307,119.230766,122.000000,94.826668,7890129
2011-09-30,120.384613,121.000000,116.846153,117.076920,91.000069,9851348
2011-10-03,116.153847,118.384613,112.923080,113.000000,87.831253,12051208
2011-10-04,111.461540,114.692307,107.846153,114.307693,88.847687,14560000
2011-10-05,114.923080,117.923080,113.461540,117.461540,91.299072,10339784
2011-10-06,117.461540,119.538460,115.076920,119.461540,92.853607,8442616
2011-10-07,120.769234,121.076920,117.230766,119.230766,92.674225,8523983
2011-10-10,121.461540,124.153847,121.230766,124.153847,96.500793,7308132
2011-10-11,122.923080,124.769234,122.769234,124.153847,96.500793,5979935
2011-10-12,125.000000,127.538460,125.000000,126.153847,98.055321,8028163
2011-10-13,124.846153,125.461540,123.230766,124.769234,96.979118,5997693
2011-10-14,126.307693,128.076920,126.153847,127.692307,99.251083,5867446
2011-10-17,126.846153,127.692307,124.538460,124.846153,97.038895,6092892
2011-10-18,125.000000,130.615387,124.923080,128.538467,99.908791,8508942
2011-10-19,128.538467,129.769226,126.230766,127.076920,98.772774,6746896
2011-10-20,127.461540,129.230774,125.615387,127.923080,99.430473,7161882
2011-10-21,125.923080,127.153847,124.076920,125.461540,97.517212,14785472
2011-10-24,125.923080,128.384613,125.538460,126.538460,98.354233,8715746
2011-10-25,126.615387,126.846153,123.461540,124.769234,96.979118,10706904
2011-10-26,126.230766,127.000000,124.769234,125.769234,97.756340,8658078
2011-10-27,130.461533,134.615387,129.307693,133.615387,103.854927,14362400
2011-10-28,132.230774,133.384613,131.615387,132.692307,103.137428,7510321
2011-10-31,130.615387,130.846161,128.461533,128.538467,99.908791,6488690
2011-11-01,124.076920,125.769234,122.846153,123.230766,95.783287,11668189
2011-11-02,125.923080,127.076920,124.307693,125.000000,97.158455,6259916
2011-11-03,127.076920,128.384613,125.846153,128.230774,99.669662,7134101
2011-11-04,127.307693,127.384613,124.846153,126.076920,97.995514,5418205
2011-11-07,125.923080,126.384613,123.923080,126.076920,97.995514,5357989
2011-11-08,126.461540,126.846153,125.076920,126.769234,98.533630,7006805
2011-11-09,124.230766,124.538460,121.153847,121.923080,94.766861,10222173
2011-11-10,123.692307,124.538460,122.846153,123.538460,96.022461,7705633
2011-11-11,124.923080,126.692307,124.846153,125.384613,97.457413,6528418
2011-11-14,124.769234,125.230766,123.230766,123.846153,96.261612,5219682
2011-11-15,123.307693,125.538460,123.307693,124.615387,96.859497,5170932
2011-11-16,123.615387,125.000000,122.461540,122.692307,95.364777,6882252
2011-11-17,122.923080,123.461540,119.230766,120.307693,93.511299,8771477
2011-11-18,121.307693,121.923080,120.153847,120.384613,93.571083,6089031
2011-11-21,119.076920,119.153847,116.923080,117.230766,91.119698,8745139
2011-11-22,117.615387,117.615387,115.230766,115.307693,89.624954,9742811
2011-11-23,114.692307,115.000000,113.230766,113.307693,88.070396,8700939
2011-11-25,113.538460,115.538460,113.076920,113.076920,87.891022,3011281
2011-11-28,117.153847,117.307693,112.923080,113.846153,88.488953,10091848
2011-11-29,114.692307,116.538460,114.000000,114.769234,89.206398,10460138
2011-11-30,117.769234,122.384613,117.384613,122.384613,95.125603,12820574
2011-12-01,122.230766,123.076920,121.000000,122.384613,95.125603,7566364
2011-12-02,123.384613,125.384613,123.384613,123.769234,96.201843,8896719
2011-12-05,125.769234,126.923080,124.461540,125.615387,97.636787,8006050
2011-12-06,126.923080,130.153839,126.692307,128.615387,99.968575,10792249
2011-12-07,128.307693,129.461533,127.153847,128.769226,100.088150,8491054
2011-12-08,127.538460,128.076920,125.000000,125.461540,97.517212,10364263
2011-12-09,126.000000,130.615387,125.846153,129.538467,100.686058,11145940
2011-12-12,128.538467,129.692307,125.538460,126.615387,98.414063,23322715
2011-12-13,127.384613,128.615387,125.384613,126.307693,98.174866,9602632
2011-12-14,125.692307,129.000000,125.384613,127.769234,99.310890,11581466
2011-12-15,129.384613,129.769226,127.615387,129.153839,100.387100,7985822
2011-12-16,130.307693,131.461533,130.076920,130.846161,101.702484,12543440
2011-12-19,130.538467,131.538467,129.153839,129.692307,100.805641,8619377
2011-12-20,131.153839,133.769226,131.076920,132.923080,103.316818,7991269
2011-12-21,133.230774,136.692307,131.923080,136.076920,105.768181,10436738
2011-12-22,136.153839,139.538467,135.769226,138.846161,108.967796,12432238
2011-12-23,138.615387,140.615387,138.076920,140.230774,110.054474,6121726
2011-12-27,139.846161,140.000000,138.538467,138.538467,108.726303,5493475
2011-12-28,138.461533,138.615387,136.307693,137.153839,107.639664,5105438
2011-12-29,137.000000,139.384613,136.846161,139.000000,109.088524,5624710
2011-12-30,138.692307,139.076920,137.538467,137.769226,108.122650,4083014
2012-01-03,140.230774,142.307693,140.230774,141.230774,110.839256,7631858
2012-01-04,140.846161,143.076920,140.615387,142.769226,112.046684,5558111
2012-01-05,142.000000,143.076920,140.692307,142.692307,111.986282,5956496
2012-01-06,144.076920,144.538467,142.769226,143.461533,112.589973,6639022
