Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,22.416918,22.454683,22.288521,22.409367,11.603986,27251760
2011-01-04,22.507553,22.590633,22.394260,22.567976,11.686121,27522253
2011-01-05,22.530210,22.734138,22.333838,22.643505,11.725235,37266893
2011-01-06,22.333838,22.364048,21.676737,22.016617,11.566513,53978818
2011-01-07,21.978851,21.986404,21.646526,21.790030,11.447474,62936472
2011-01-10,21.555891,21.608761,21.246223,21.404835,11.245107,54728996
2011-01-11,21.238670,21.321753,20.929003,21.080059,11.074490,75910746
2011-01-12,21.080059,21.306646,21.027189,21.178247,11.126070,47702926
2011-01-13,21.253777,21.291540,21.049849,21.208460,11.141947,47543781
2011-01-14,21.155588,21.487915,21.080059,21.472811,11.280822,45258027
2011-01-18,21.563444,21.593657,21.344412,21.397282,11.241141,41326939
2011-01-19,21.404835,21.503021,21.336859,21.397282,11.241141,41898112
2011-01-20,21.518127,21.533234,21.261330,21.321753,11.201464,39320814
2011-01-21,21.382175,21.510574,21.321753,21.397282,11.241141,50337686
2011-01-24,21.495468,21.570997,21.382175,21.510574,11.300663,26452328
2011-01-25,21.510574,21.722054,21.450151,21.722054,11.411763,36592447
2011-01-26,21.805136,21.865559,21.661631,21.699396,11.399858,32290904
2011-01-27,21.208460,21.336859,21.004532,21.246223,11.161784,77328617
2011-01-28,21.148035,21.163141,20.702417,20.762840,10.907836,54335371
2011-01-31,20.709970,20.830816,20.543806,20.785498,10.919742,38726206
2011-02-01,21.087612,21.087612,20.876133,21.049849,11.058619,34941154
2011-02-02,21.178247,21.185801,20.815710,20.898792,10.979258,30986366
2011-02-03,20.898792,21.155588,20.830816,21.140484,11.106234,27917070
2011-02-04,21.193354,21.193354,21.019636,21.125378,11.098295,24257401
2011-02-07,21.125378,21.155588,20.929003,21.117825,11.094331,43549935
2011-02-08,21.125378,21.148035,20.974319,21.080059,11.074490,26248565
2011-02-09,20.981873,21.155588,20.868580,21.125378,11.098295,24671813
2011-02-10,21.132931,21.480364,20.996979,21.329306,11.205433,46705159
2011-02-11,21.246223,21.593657,21.216011,21.503021,11.296692,29461780
2011-02-14,21.450151,21.548338,21.306646,21.495468,11.292723,30305963
2011-02-15,21.389729,21.404835,21.148035,21.329306,11.205433,31318690
2011-02-16,21.291540,21.442598,21.216011,21.374622,11.229239,30192364
2011-02-17,21.344412,21.563444,21.261330,21.525681,11.308602,25016450
2011-02-18,21.548338,21.586103,21.412388,21.578550,11.336373,26106764
2011-02-22,21.389729,21.465258,21.185801,21.299093,11.189559,34396461
